7/26/10 7:38 AM
Project Statistics

                 	Segments	 Words	Characters (without spaces)	Characters (including spaces)	
Total:           	   17653	151877	                     808685	                       923350	
Remaining:       	   13440	122997	                     665145	                       755636	
Unique:          	   11558	124287	                     626384	                       726157	
Unique Remaining:	    9447	101925	                     516951	                       596891	


Individual File Statistics:

File Name                                                                                                    	Total Words	Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	
BAM/blenderart_mag-8_resource/data/articles/blender world cup004/Blender world cup article.eml.txt           	        291	            291	                             1342	                                 1342	                               1615	                                   1615	
BAM/blenderart_mag-8_resource/data/articles/blender world cup004/topics.txt                                  	        341	            341	                             1876	                                 1876	                               2161	                                   2161	
BAM/blenderart_mag-8_resource/data/regular-sections/Blender_Basics_Book.odt                                  	        764	            764	                             3773	                                 3773	                               4506	                                   4506	
BAM/blenderart_mag-8_resource/data/regular-sections/Blender_Basics_Book.txt                                  	        764	            764	                             3774	                                 3774	                               4508	                                   4508	
BAM/blenderart_mag-8_resource/data/regular-sections/Blender_News.odt                                         	        345	            343	                             1773	                                 1762	                               2063	                                   2051	
BAM/blenderart_mag-8_resource/data/regular-sections/Blender_News.txt                                         	        345	            345	                             1794	                                 1794	                               2089	                                   2089	
BAM/blenderart_mag-8_resource/data/regular-sections/Editorial.odt                                            	        295	            295	                             1346	                                 1346	                               1617	                                   1617	
BAM/blenderart_mag-8_resource/data/regular-sections/Editorial.txt                                            	        295	            295	                             1347	                                 1347	                               1619	                                   1619	
BAM/blenderart_mag-8_resource/data/regular-sections/Izzy_Knows.odt                                           	        417	            417	                             1835	                                 1835	                               2207	                                   2207	
BAM/blenderart_mag-8_resource/data/regular-sections/Izzy_Knows.txt                                           	        417	            417	                             1841	                                 1841	                               2220	                                   2220	
BAM/blenderart_mag-8_resource/data/tutorials/Car body modeling/carbodymodeling an approach.odt               	       2976	           2976	                            13391	                                13391	                              16174	                                  16174	
BAM/blenderart_mag-8_resource/data/tutorials/Car body modeling/Car Body Modeling In Blender  An Approach.html	       1871	           1871	                             8539	                                 8539	                              10262	                                  10262	
BAM/blenderart_mag-8_resource/data/tutorials/Cutting the waves(making) - Zsolt/Making_Of_Cutting_th.odt      	       1373	           1372	                             6261	                                 6253	                               7555	                                   7547	
BAM/blenderart_mag-8_resource/data/tutorials/Cutting the waves(making) - Zsolt/makingof_2006F1_text.html     	       1418	           1417	                             6597	                                 6589	                               7893	                                   7885	
BAM/blenderart_mag-8_resource/data/tutorials/Low poly car/Low_Poly_Car_and_Sma.odt                           	       1817	           1817	                             7513	                                 7513	                               9149	                                   9149	
BAM/blenderart_mag-8_resource/data/tutorials/Low poly car/Low_Poly_Car_and_Sma.txt                           	       1865	           1865	                             7652	                                 7652	                               9328	                                   9328	
BAM/blenderart_mag-8_resource/data/tutorials/Metal shaders - Class/metal_shaders_for_je.odt                  	       7484	           7484	                            35391	                                35391	                              42372	                                  42372	
BAM/blenderart_mag-8_resource/data/tutorials/Metal shaders - Class/metal_shaders.txt                         	       7497	           7497	                            36225	                                36225	                              43226	                                  43226	
BAM/blenderart_mag-8_resource/data/tutorials/Rim Tutorial -  Pablo/About.txt                                 	         38	             38	                              200	                                  200	                                232	                                    232	
BAM/blenderart_mag-8_resource/data/tutorials/Rim Tutorial -  Pablo/Car_Rims.odt                              	       1572	           1572	                             6396	                                 6396	                               7868	                                   7868	
BAM/blenderart_mag-8_resource/data/tutorials/Rim Tutorial -  Pablo/Car_Rims.txt                              	       1572	           1572	                             6376	                                 6376	                               7851	                                   7851	
BAM/blenderart_mag-8_resource/data/tutorials/Scale Model - Marin/Marin Myftiu.txt                            	        249	            249	                             1464	                                 1464	                               1667	                                   1667	
BAM/blenderart_mag-8_resource/data/tutorials/Scale Model - Marin/Sharing_the_Road_is_.odt                    	        960	            960	                             4596	                                 4596	                               5505	                                   5505	
BAM/blenderart_mag-8_resource/data/tutorials/Tire modeling - Thomas/bio info thomas baron.txt                	        480	            479	                             2889	                                 2886	                               3438	                                   3435	
BAM/blenderart_mag-8_resource/data/tutorials/Tire modeling - Thomas/Tire_Modeling.odt                        	       1385	           1385	                             5999	                                 5999	                               7233	                                   7233	
BAM/blenderart_mag-8_resource/data/tutorials/Tire modeling - Thomas/Tire_Modeling.txt                        	       1377	           1377	                             5977	                                 5977	                               7208	                                   7208	
BAM/blenderart_mag-8_resource/data/tutorials/Tire modeling - Thomas/tire modeling.html                       	       2681	           2647	                            15861	                                15659	                              17433	                                  17214	
BAM/blenderart_mag-9_resource.odt                                                                            	      18501	          16880	                            82749	                                74464	                              99732	                                  89948	
Blender2.5-Getting-Started.tex                                                                               	       5231	              6	                            23639	                                   28	                              28583	                                     29	
blenderguru/2010/07/06-07-2010-Let it Snow!.html                                                             	        375	            111	                             2566	                                 1083	                               2759	                                   1093	
blenderguru/2010/07/07-07-2010-Great a High Rise Building-part1 of 2.html                                    	       2277	           2015	                            13197	                                11904	                              14360	                                  12855	
blenderguru/2010/07/08-07-2010-How to make Puddles.html                                                      	       2207	            620	                            12143	                                 5004	                              13572	                                   5015	
blenderguru/2010/07/09-rains.html                                                                            	        329	            171	                             2465	                                 1601	                               2589	                                   1612	
blenderguru/2010/07/10-How to Create a Lightning Storm.html                                                  	        407	            168	                             2841	                                 1597	                               3037	                                   1605	
blenderguru/2010/07/12-How to Create Heat Distortion.html                                                    	       1672	           1443	                             9821	                                 8681	                              10793	                                   9468	
blenderguru/2010/07/22-How to model a kitchen in Blender.html                                                	        266	             83	                             1561	                                  718	                               1731	                                    725	
blenderguru/2010/07/Creating Volumetric Clouds.html                                                          	       1376	            299	                             7886	                                 1471	                               8787	                                   1700	
blendernation/2010/06/25-06-2010-01.txt                                                                      	        157	             44	                              931	                                  355	                               1064	                                    385	
blendernation/2010/06/25-06-2010-02.txt                                                                      	         68	              7	                              401	                                   92	                                457	                                     92	
blendernation/2010/06/25-06-2010-03_files/index_1.htm                                                        	          6	              0	                               24	                                    0	                                 24	                                      0	
